Status,Progress,Duration (in seconds),Finished,ResponseId,DistributionChannel,UserLanguage,Q45,Q1,Q16,Q16_19_TEXT,Q2,Q2_16_TEXT,Q3,Q3_13_TEXT,Q6,Q7,Q7_6_TEXT,Q8,Q9,Q9_2_TEXT,Q10,Q11,Q11_6_TEXT,Q12,Q12_1_TEXT,Q12_3_TEXT,Q13,Q13_5_TEXT,Q14,Q15,Q17,Q17_9_TEXT,Q18,Q18_8_TEXT,Q19,Q20,Q20_7_TEXT,Q21,Q21_12_TEXT,Q22,Q23,Q23_10_TEXT,Q48,Q43,Q24,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q25_7,Q25_8,Q25_8_TEXT,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6,Q30_7,Q30_8,Q30_8_TEXT,Q31_1,Q31_2,Q31_3,Q31_4,Q31_5,Q31_6,Q31_7,Q31_8,Q31_8_TEXT,Q32,Q33,Q34,Q35,Q42,Q36,Q37,Q38,Q39,Q40,Q41
IP Address,100,522,TRUE,R_1IsHszDABeZ5oux,anonymous,EN,NA,Agree,Morphmet (listserv),NA,"evolutionary biology,paleoanthropology,physical (biological) anthropology,skeletal biology",NA,full professor (tenured),NA,no,NA,NA,yes,sometimes,NA,Yes,"I was able to design and execute a study that would not have been possible otherwise,I was able to do a research project much more quickly and less expensively (without having to travel or pay for as much data collection)",NA,"online repository (please write in names of repositories you have downloaded data from),author sent me data directly",NA,NA,NA,NA,yes,NA,"required to by a foundation supporting my research (e.g., NSF),required to by journals in which I publish my research,I have benefited from others sharing data and wanted to pay it forward,I wanted to benefit others by sharing my data",NA,An independent researcher was able to confirm and build upon results of my study because I shared the data.,NA,no,NA,NA,NA,NA,yes,"Other stakeholders did not allow me to archive/share data (e.g., collaborator, advisor, museum, descendant population)",NA,NA,NA,not sure / depends,NA,NA,LIKELY to benefit,LIKELY to benefit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,strong obligation,strong obligation,strong obligation,strong obligation,strong obligation,strong obligation,strong obligation,NA,NA,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree
IP Address,100,5581,TRUE,R_1o0y75ohKNxNoGX,anonymous,EN,proceed,Agree,Morphmet (listserv),NA,"archaeology,bioarchaeology,evolutionary biology,functional anatomy/biomechanics,paleoanthropology,physical (biological) anthropology",NA,graduate student,NA,no,NA,NA,yes,yes,NA,Yes,"Improved my teaching/outreach through data resources made accessible to me,Improved an ongoing study through data resources made accessible to me,I was able to design and execute a study that would not have been possible otherwise,I was able to do a research project much more quickly and less expensively (without having to travel or pay for as much data collection),I was able to design and execute all or part of a thesis with shared data",NA,author sent me data directly,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,"I have not yet completed a research project or scientific manuscript to the point of having to plan for data archiving or sharing yet,I am not aware of any repositories capable of storing my data in a useful way.,I am not aware of any repositories that allow my data to be archived with the appropriate restrictions/embargos on access. (write in the restrictions/embargos of known repositories),Other stakeholders did not allow me to archive/share data (e.g., collaborator, advisor, museum administrator, descendant population)",NA,NA,NA,NA,Data sharing from colleagues met at conferences resulted in entire new projects and facilitating the completion of my dissertation,"Ethics requirements for human remains, would need a secure location accessible to myself and stakeholders only with time/date restrictions and appropriate permissions",yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,experiences the strongest benefit,experiences strong benefit,experiences little benefit,experiences little benefit,experiences the strongest benefit,experiences little benefit,experiences the strongest benefit,NA,NA,strong obligation,strongeset obligation,strongeset obligation,strongeset obligation,strong obligation,strongeset obligation,strong obligation,NA,NA,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
IP Address,100,438,TRUE,R_RnqlssYPHX1As0N,anonymous,EN,proceed,Agree,American Association of Physical Anthropologists,NA,"functional anatomy/biomechanics,paleoanthropology,physical (biological) anthropology",NA,associate professor (tenured),NA,no,NA,NA,no,NA,NA,No,NA,NA,NA,NA,NA,"There is not a culture of sharing data in my field (it is not required or expected).,There are no repositories capable of storing my field’s data in a useful way,The data collection and reporting methods are complex and poorly standardized meaning it is difficult to re-use data between studies",NA,no,NA,NA,NA,NA,NA,NA,NA,NA,I am not aware of any repositories capable of storing my data in a useful way.,NA,NA,NA,NA,NA,Know where and how to do it.,not sure / depends,UNLIKELY to benefit,NA,LIKELY to benefit,NA,NA,NA,NA,NA,NA,experiences the strongest benefit,experiences strong benefit,experiences little benefit,NA,NA,NA,experiences strong benefit,NA,NA,little obligation,strong obligation,strongeset obligation,NA,NA,NA,NA,NA,NA,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,strongly disagree,Somewhat agree
IP Address,100,385,TRUE,R_XWVvjLjDiPauEuZ,anonymous,EN,proceed,Agree,Morphmet (listserv),NA,"functional anatomy/biomechanics,paleoanthropology,physical (biological) anthropology",NA,associate professor (tenured),NA,no,NA,NA,yes,yes,NA,Yes,"Improved an ongoing study through data resources made accessible to me,I was able to do a research project much more quickly and less expensively (without having to travel or pay for as much data collection)",NA,"online repository (please write in names of repositories you have downloaded data from),author sent me data directly",morphosource,NA,NA,NA,yes,"Morphosource, personal research website","required to by a foundation supporting my research (e.g., NSF),I hoped to increase impact of my data (e.g., to generate data citations),satisfy my own personal/professional standards,I have benefited from others sharing data and wanted to pay it forward,I wanted to benefit others by sharing my data",NA,"I was able to report more publications using my data to the grant sponsor who funded the data collection than if I hadnt shared my data,I was able to provide evidence of my past data sharing in a new grant proposal,The data were used for outreach and education and I was able to report that as impact of my data",NA,no,NA,NA,NA,NA,yes,"Other stakeholders did not allow me to archive/share data (e.g., collaborator, advisor, museum, descendant population),I could have been scooped on other current or planned future research if I did,I planned to give first priority of reuse to my students (or future students)",NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,experiences the strongest benefit,experiences strong benefit,experiences little benefit,experiences strong benefit,experiences the strongest benefit,experiences strong benefit,experiences the strongest benefit,NA,NA,strong obligation,strongeset obligation,strongeset obligation,strongeset obligation,strong obligation,strongeset obligation,strong obligation,NA,NA,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree
IP Address,100,309,TRUE,R_1IcK9qtA9FiDPye,anonymous,EN,proceed,Agree,American Association of Physical Anthropologists,NA,"bioarchaeology,human biology,paleoanthropology,physical (biological) anthropology,skeletal biology",NA,full professor (tenured),NA,no,NA,NA,no,NA,NA,Yes,"I was able to design and execute a study that would not have been possible otherwise,I was able to do a research project much more quickly and less expensively (without having to travel or pay for as much data collection)",NA,author sent me data directly,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,"Too expensive to pay repository fees,Other stakeholders did not allow me to archive/share data (e.g., collaborator, advisor, museum administrator, descendant population)",NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,experiences the strongest benefit,experiences strong benefit,experiences strong benefit,experiences little benefit,experiences the strongest benefit,experiences little benefit,experiences the strongest benefit,NA,NA,strong obligation,strong obligation,strongeset obligation,strongeset obligation,strong obligation,strongeset obligation,strong obligation,NA,NA,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree
IP Address,100,358,TRUE,R_1LbU8FHJvzyXyEx,anonymous,EN,proceed,Agree,American Association of Physical Anthropologists,NA,"archaeology,bioarchaeology,paleoanthropology",NA,graduate student,NA,no,NA,NA,yes,yes,NA,Yes,"I was able to design and execute a study that would not have been possible otherwise,I was able to do a research project much more quickly and less expensively (without having to travel or pay for as much data collection)",NA,online repository (please write in names of repositories you have downloaded data from),zenodo,NA,NA,NA,yes,"zenodo, morphosource, nespos","I hoped to increase impact of my data (e.g., to generate data citations),I wanted to benefit others by sharing my data",NA,"I was invited to collaborate on a paper using data I shared,My paper was cited specifically for the shared data it included",NA,no,NA,NA,NA,NA,yes,"Other stakeholders did not allow me to archive/share data (e.g., collaborator, advisor, museum, descendant population)",NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,experiences the strongest benefit,NA,NA,NA,NA,NA,NA,NA,NA,little obligation,strongeset obligation,strongeset obligation,strongeset obligation,strongeset obligation,strongeset obligation,strongeset obligation,NA,NA,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree
IP Address,100,758,TRUE,R_3jTmcWZs1pvYA4s,anonymous,EN,proceed,Agree,Morphmet (listserv),NA,"evolutionary biology,paleoanthropology,paleontology,physical (biological) anthropology,phylogenetics",NA,postdoctoral fellow,NA,no,NA,NA,yes,yes,NA,Yes,"Improved an ongoing study through data resources made accessible to me,I was able to design and execute a study that would not have been possible otherwise,I was able to do a research project much more quickly and less expensively (without having to travel or pay for as much data collection)",NA,"online repository (please write in names of repositories you have downloaded data from),author sent me data directly","MorphoSource, Dryad",NA,NA,NA,yes,"Dryad, CRAN","required to by a foundation supporting my research (e.g., NSF),required to by journals in which I publish my research,expected/encouraged by  my employer (e.g., for promotion/tenure),I hoped to increase impact of my data (e.g., to generate data citations),satisfy my own personal/professional standards,I have benefited from others sharing data and wanted to pay it forward,I wanted to benefit others by sharing my data",NA,"My paper was cited specifically for the shared data it included,An independent researcher was able to confirm and build upon results of my study because I shared the data.",NA,no,NA,NA,NA,NA,yes,"I was not aware of any repositories capable of storing the data in a useful way.,Other stakeholders did not allow me to archive/share data (e.g., collaborator, advisor, museum, descendant population)",NA,NA,"needs: better search engine for and inside existing databases, put together multiple small data bases in one big, avoid paywalls, possibility to require several specimens at the same time",yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,experiences the strongest benefit,experiences strong benefit,experiences strong benefit,experiences strong benefit,experiences strong benefit,experiences strong benefit,experiences the strongest benefit,experiences little benefit,"Lecturers, journalists, general public",strong obligation,strongeset obligation,strongeset obligation,strongeset obligation,strong obligation,strongeset obligation,strong obligation,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree
IP Address,100,359,TRUE,R_5gPUJYMkmotIXaF,anonymous,EN,proceed,Agree,other (write in),NYCEP,"paleoanthropology,physical (biological) anthropology",NA,assistant professor,NA,no,NA,NA,I don't know,NA,NA,Yes,"Improved an ongoing study through data resources made accessible to me,I was able to design and execute a study that would not have been possible otherwise,I was able to do a research project much more quickly and less expensively (without having to travel or pay for as much data collection)",NA,"online repository (please write in names of repositories you have downloaded data from),author sent me data directly",Morphosource,NA,NA,NA,yes,"Dryad, Morphosource","required to by journals in which I publish my research,I hoped to increase impact of my data (e.g., to generate data citations),satisfy my own personal/professional standards,I have benefited from others sharing data and wanted to pay it forward,I wanted to benefit others by sharing my data",NA,I was able to provide evidence of my past data sharing in a new grant proposal,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,experiences the strongest benefit,experiences strong benefit,experiences little benefit,experiences strong benefit,experiences the strongest benefit,experiences strong benefit,experiences the strongest benefit,NA,NA,little obligation,strong obligation,strongeset obligation,strongeset obligation,little obligation,strongeset obligation,little obligation,NA,NA,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,strongly disagree,Strongly agree,Strongly agree,Somewhat agree
IP Address,100,499,TRUE,R_294Bqm3O9q6vTQ8,anonymous,EN,proceed,Agree,other (write in),listserv,"evolutionary biology,human biology,paleoanthropology,physical (biological) anthropology,primate behavior and ecology,skeletal biology",NA,graduate student,NA,no,NA,NA,yes,yes,NA,Yes,"Improved an ongoing study through data resources made accessible to me,I was able to design and execute a study that would not have been possible otherwise",NA,online repository (please write in names of repositories you have downloaded data from),NA,NA,NA,NA,yes,"Dryad, provided directly to journal as supplementary data files","required to by a foundation supporting my research (e.g., NSF),required to by journals in which I publish my research,I hoped to increase impact of my data (e.g., to generate data citations),satisfy my own personal/professional standards,I have benefited from others sharing data and wanted to pay it forward,I wanted to benefit others by sharing my data",NA,NA,NA,no,NA,NA,NA,NA,no,NA,NA,"I have just published a paper on a high impact journal built entirely on data collected by others; I am currently finishing to write up another paper built entirely on data collected by others. Also: it makes it super easy for me to quickly test somepossible hypotheses by just downloading a dataset, merging it with another one and running some code! I am a huge fan of data sharing and hope that my data will also benefit others in the future",The cost of repositories such as Dryad,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,experiences the strongest benefit,experiences strong benefit,experiences little benefit,experiences little benefit,experiences strong benefit,experiences strong benefit,experiences the strongest benefit,NA,scientists stuck at home because of COVID,strong obligation,strong obligation,strong obligation,strong obligation,strong obligation,strong obligation,strong obligation,NA,I feel the only discriminating factor regarding the obligation to share data is whether it was acquired with: personal funds; institutional funds; taxpayer funds,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,strongly disagree,strongly disagree,Neither agree nor disagree,Strongly agree
IP Address,100,438,TRUE,R_332QXxUVMHlm2vv,anonymous,EN,proceed,Agree,other (write in),NYCEP Listserv,"paleoanthropology,physical (biological) anthropology",NA,associate professor (tenured),NA,no,NA,NA,yes,sometimes,NA,Yes,"Improved an ongoing study through data resources made accessible to me,I was able to do a research project much more quickly and less expensively (without having to travel or pay for as much data collection)",NA,author sent me data directly,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,other (write in),"I have archived data on DRYAD, I forgot and I cannot go back to the last question",NA,NA,NA,"A colleague shared a large collection of scanned skulls, which freed up time / money to put toward other data collection, which I intend to make public; I have shared data with graduate students whose own research was paused during COVID which hopefully allowed them to move their thesis research forward.",I have concerns about sharing landmark data due to interobserver error.,not sure / depends,UNLIKELY to benefit,LIKELY to benefit,LIKELY to benefit,LIKELY to benefit,UNLIKELY to benefit,LIKELY to benefit,UNLIKELY to benefit,NA,NA,experiences the strongest benefit,experiences strong benefit,experiences little benefit,experiences little benefit,experiences the strongest benefit,experiences strong benefit,experiences the strongest benefit,NA,NA,little obligation,strong obligation,strongeset obligation,strongeset obligation,little obligation,strongeset obligation,little obligation,NA,NA,Somewhat disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree
