number,question
Q45,"The goal of this survey is to understand general attitudes and habits surrounding data archiving and sharing across different biological fields. 

 

The target demographic for this survey is researchers as well as other individuals that could be considered either scientific data producers or consumers of data for scientific activities.  We are also interested in understanding to what degree the potential benefit for broader impacts and outreach motivates (or could motivate) data sharing.

 
This survey is anonymous and will be used in a descriptive publication that we hope will help journals, funding agencies, and scholarly professional societies in their efforts improve their support and incentives for ethical data transparency and accessibility."
Q1,"Research Participant   Informed Consent Form

Please read this document carefully before you decide to participate in this research study. Your participation is voluntary, and you can decline to participate, or withdraw consent at any time, with no consequences.

 

Study Title: Data sharing survey

 

Person conducting the research: Connie J. Mulligan, PhD, Department of Anthropology, University of Florida, Gainesville FL, 32610, 352-275-3256, cmulligan@ufl.edu. This survey was approved as exempt from review by UF's IRB. If you have any questions about the study, please contact Dr. Mulligan or IRB01 (352-392-0433, irb2@ufl.edu)

 

Purpose of the research study: The purpose of this study is to learn more about the attitudes, practices, and experiences of data archiving and sharing among biological anthropologists.

 

What you will be asked to do in the study: You will be asked to fill out an online survey that should take approximately 10-15 minutes. The survey is anonymous and it will not be possible to connect any of the data collected with specific study participants. There is a minimal risk that security of any online data may be compromised, but our survey host (QUALTRICS) uses strong encryption and other data security methods to protect your information. Data will be presented in publications and/or meeting presentations or reports.

 

Risks and benefits: There are no risks or discomforts anticipated due to participation in this study. There are no direct benefits of participation for you."
Q16,"Through which society, listserv or website did you access this survey? (choose one or more) - Selected Choice"
Q16_19_TEXT,"Through which society, listserv or website did you access this survey? (choose one or more) - other (write in) - Text"
Q2,What is your field of expertise? (choose one or more) - Selected Choice
Q2_16_TEXT,What is your field of expertise? (choose one or more) - other (write in) - Text
Q3,What is your career stage or occupation? - Selected Choice
Q3_13_TEXT,What is your career stage or occupation? - other (write in) - Text
Q6,Do identify as a member of a under-represented group or marginalized group? (optional)
Q7,What aspects of your identity affiliate you with an under-represented or marginalized group? (optional) - Selected Choice
Q7_6_TEXT,What aspects of your identity affiliate you with an under-represented or marginalized group? (optional) - other (write in) - Text
Q8,"Do at least one of the primary journals used by researchers in your field have a data accessibility requirement?  In other words, does at least one require provision of data and/or data identifiers required to repeat the study or a statement of how the required data can be obtained?"
Q9,Do you publish in these journals - Selected Choice
Q9_2_TEXT,Do you publish in these journals - no (provide an explanation of why not if you desire) - Text
Q10,Have you benefited from other researchers sharing their data?
Q11,How did you benefit? (choose one or more) - Selected Choice
Q11_6_TEXT,How did you benefit? (choose one or more) - other (write in) - Text
Q12,How did you get access to shared data? (choose one or more) - Selected Choice
